iter	Passed	Remaining
0	2	257
1	5	246
2	7	237
3	9	227
4	11	223
5	13	218
6	16	218
7	19	218
8	21	218
9	24	219
10	27	219
11	29	218
12	32	218
13	35	218
14	38	219
15	41	219
16	44	219
17	48	218
18	51	218
19	54	217
20	57	215
21	60	213
22	63	211
23	66	209
24	69	207
25	72	205
26	74	202
27	77	199
28	80	197
29	83	194
30	86	191
31	88	188
32	91	185
33	94	183
34	97	180
35	99	177
36	102	174
37	105	171
38	107	168
39	110	165
40	112	162
41	113	156
42	116	153
43	118	150
44	121	148
45	124	146
46	127	143
47	130	141
48	133	138
49	136	136
50	139	133
51	141	130
52	144	128
53	147	125
54	149	122
55	152	119
56	155	117
57	158	114
58	161	111
59	164	109
60	167	106
61	170	104
62	172	101
63	176	99
64	179	96
65	182	93
66	185	91
67	188	88
68	191	85
69	194	83
70	196	80
71	200	77
72	203	75
73	205	72
74	208	69
75	211	66
76	214	64
77	216	61
78	219	58
79	222	55
80	224	52
81	227	49
82	229	47
83	231	44
84	234	41
85	236	38
86	239	35
87	241	32
88	244	30
89	247	27
90	249	24
91	252	21
92	255	19
93	257	16
94	260	13
95	263	10
96	266	8
97	268	5
98	271	2
99	274	0
